FILE NAME,FORMAT,SIZE,URL
NORMAL-1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-3,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-4,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-5,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-6,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-7,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-8,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-9,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-10,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-11,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-12,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-13,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-14,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-15,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-16,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-17,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-18,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-19,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-20,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-21,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-22,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-23,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-24,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-25,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-26,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-27,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-28,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-29,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-30,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-31,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-32,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-33,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-34,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-35,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-36,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-37,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-38,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-39,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-40,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-41,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-42,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-43,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-44,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-45,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-46,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-47,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-48,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-49,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-50,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-51,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-52,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-53,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-54,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-55,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-56,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-57,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-58,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-59,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL-60,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
